name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
azerbaijan,2021-03-05,9,4,6.6,7.3,0.6,4.2,4,83.78,3,,4.17,,,,,18.4,161.1,1020.3,62.1,10,,,0,,2021-03-05T07:08:06,2021-03-05T18:36:29,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-06,11.3,0,6.4,11.3,-3.6,4.8,4.6,88.91,0,,0,,,,,33.5,158.2,1018,18.8,7.9,,,0,,2021-03-06T07:06:32,2021-03-06T18:37:35,0.78,Clear,Clear conditions throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-07,11,3.7,7,11,-2.8,2.3,1.6,69.07,0,,0,,,,100.1,81,289.4,1017,49.1,10,,,0,,2021-03-07T07:04:58,2021-03-07T18:38:41,0.83,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-08,7.1,-1,4.4,5.9,-4.8,1.6,0.1,74.34,0,,0,,,,,25.9,142.9,1019.3,65.6,10,,,0,,2021-03-08T07:03:23,2021-03-08T18:39:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
azerbaijan,2021-03-09,6,4.2,5.3,5,-1,2.3,2.3,81.58,0.4,,4.17,,,,,43.2,247.5,1017.1,94.3,10,,,0,,2021-03-09T07:01:48,2021-03-09T18:40:52,0.93,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-10,9,3,6.2,7,0,3.6,2.4,77.02,99,,4.17,,,,,29.5,267.9,1021,69,10,,,0,,2021-03-10T07:00:12,2021-03-10T18:41:57,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-11,6,3,4.9,2.8,-1.5,0.6,2.5,84.97,3,,4.17,,,,,37.1,92.3,1016.8,90.6,10,,,0,,2021-03-11T06:58:36,2021-03-11T18:43:02,0.99,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-12,3.2,0.8,1.8,-1.8,-6.4,-4.7,-0.9,82.75,2,,4.17,,,,66.6,53.6,97.1,1017.2,90.3,8.9,,,0,,2021-03-12T06:56:59,2021-03-12T18:44:07,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-13,2.2,0.9,1.4,2,-5.1,-2.4,-4.1,66.84,0,,0,,,,,29.5,178.7,1027.6,89.8,10,,,0,,2021-03-13T06:55:22,2021-03-13T18:45:11,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
azerbaijan,2021-03-14,7,1,4.6,5.1,-2.4,1.5,2.1,83.75,99.4,,8.33,,,,,22.3,127.2,1025.2,96.1,10,,,0,,2021-03-14T06:53:45,2021-03-14T18:46:15,0.01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-15,10,3,6.6,10,2.1,4,4.3,85.81,99,,4.17,,,,,37.1,149.7,1023.1,72.1,9.2,,,0,,2021-03-15T06:52:08,2021-03-15T18:47:19,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-16,10.1,6,8,10.1,2.7,5.1,5.1,81.92,0,,0,,,,,40.7,157.7,1015.6,73.3,10,,,0,,2021-03-16T06:50:30,2021-03-16T18:48:23,0.04,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-17,11.6,6,8.5,11.6,3,6.2,5.4,81.38,0,,0,,,,59.4,53.3,180.3,1008.8,46.2,9.9,,,0,,2021-03-17T06:48:52,2021-03-17T18:49:27,0.07,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-18,20,6,8.7,20,2.9,5.5,6.8,88.86,0,,0,,,,59.4,51.8,224.3,1002.5,63.1,5.3,,,0,,2021-03-18T06:47:14,2021-03-18T18:50:30,0.11,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-19,14,3,8.6,14,1,7.7,4.3,76.76,0,,0,,,,,25.9,174.1,1011.7,3.3,10,,,0,,2021-03-19T06:45:36,2021-03-19T18:51:34,0.15,Clear,Clear conditions throughout the day.,clear-day,"37864099999,UBBB"
azerbaijan,2021-03-20,12,5,8.1,12,3,6.3,5.7,85.84,0,,0,,,,,33.5,286.5,1015.8,43.3,9.5,,,0,,2021-03-20T06:43:57,2021-03-20T18:52:37,0.2,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
azerbaijan,2021-03-21,11,4,7.7,11,2.4,6.1,5.5,86.48,0,,0,,,,,25.9,183.3,1014.6,72.8,8.7,,,0,,2021-03-21T06:42:19,2021-03-21T18:53:40,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
azerbaijan,2021-03-22,8,5.9,6.6,5.1,1.1,3,5,89.61,0.2,,4.17,,,,,33.5,244.5,1014.7,99.1,9.3,,,0,,2021-03-22T06:40:40,2021-03-22T18:54:43,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-23,12.2,7.8,9.8,12.2,3.3,8.1,6.7,81.2,99,,4.17,,,,85.3,66.6,178.9,1005.3,56.5,10,,,0,,2021-03-23T06:39:02,2021-03-23T18:55:45,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37864099999,UBBB"
azerbaijan,2021-03-24,28,8,12,27.2,4.3,10.3,8.1,80.31,0,,0,,,,51.8,37.1,211.1,997.1,33.2,8.9,,,0,,2021-03-24T06:37:23,2021-03-24T18:56:48,0.39,Partially cloudy,Partly cloudy throughout the day.,wind,"37864099999,UBBB"
